numero_expediente,year,doc_type,source_file,original_snippet,cleaned_text,original_len,cleaned_len,noisy,reversed_fixed
00070-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00387-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00361-1998.AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00455-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00728-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00762-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00765-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00718-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00261-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00251-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00250-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00258-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00843-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00185-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00195-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00109-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00102-1995-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00161-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00670-1997-HC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00622-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00525-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00642-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00574-1997-HC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00070-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00015-1998-HC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00047-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00051-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00064-1996-AC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00026-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00964-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00615-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00957-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00462-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00847-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00073-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00245-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00225-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00723-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00069-1995-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00165-1995-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00785-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00773-1998-HC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00194-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00498-1998-HC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00359-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00056-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00712-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00693-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00797-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00610-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00434-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00390-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00373-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00817-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00343-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00369-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00069-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00095-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00909-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00632-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00085-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00991-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00705-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00682-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00641-1997-HC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00870-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00699-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00607-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01271-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00638-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00132-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00185-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00165-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00233-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00116-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00761-1998-AC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01114-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00354-1997-AC,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00374-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00742-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01231-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00505-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01098-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00362-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00407-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00483-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00421-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00432-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00488-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01227-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00484-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00022-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00041-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00050-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00005-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01038-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01019-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
01001-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00928-1997-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00989-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00698-1998-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00034-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00557-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
00987-1996-AA,1999,sentencia,data\sentencia-Extract\1999\sentencia-pdf-1999.csv,,,0,0,True,False
